element.id;element.created_by;element.updated_by;element.created_at;element.updated_at;element.published_at;element.published_to;element.priority;element.active;element.name;element.image_id;element.image_full_id;element.code;element.description_short;element.description_full;element.content_id;element.tree_id;element.show_counter;element.show_counter_start;element.meta_title;element.meta_description;element.meta_keywords;element.description_short_type;element.description_full_type;element.parent_content_element_id;property.brand;property.sku
13702;1;1;1473105640;1473185437;1473105640;;500;Y;"BOSTIK Гель для паркета и ламината Clic Protect";17105;;bostik-gel-dlya-parketa-i-laminata-clic-p;;;2;1503;;;;;;text;text;;BOSTIK;15153
13703;1;1;1473105642;1473185424;1473105642;;500;Y;"BOSTIK Герметик полиуретановый серый 2639";17106;;bostik-germetik-poliuretanovyiy-seryiy;;;2;1505;;;;;;text;text;;BOSTIK;20769
13704;1;1;1473105643;1473174034;1473105643;;500;Y;"BOSTIK Клей акрилов.напол. KE 310";17107;;bostik-kley-akrilovnapol-ke-310;;;2;1503;;;;;;text;text;;BOSTIK;6309
13705;1;1;1473105644;1473174034;1473105644;;500;Y;"BOSTIK Клей акрилов.напол. KE 310";17108;;bostik-kley-akrilovnapol-ke-310-13704;;;2;1503;;;;;;text;text;;BOSTIK;6308
13706;1;1;1473105645;1473174034;1473105645;;500;Y;"BOSTIK Клей акрилов.напол. KU 320";17109;;bostik-kley-akrilovnapol-ku-320;;;2;1503;;;;;;text;text;;BOSTIK;19811
13707;1;1;1473105647;1473174034;1473105647;;500;Y;"BOSTIK Клей акрилов.напол. KU 320";17110;;bostik-kley-akrilovnapol-ku-320-13706;;;2;1503;;;;;;text;text;;BOSTIK;19812
13708;1;1;1473105649;1473186204;1473105649;;500;Y;"BOSTIK Клей для склеивания швов ПВХ (Linokol )";17111;;bostik-kley-dlya-skleivaniya-shvov-pvh-lin;;;2;1491;;;;;;text;text;;BOSTIK;19813
13709;1;1;1473105652;1473174034;1473105652;;500;Y;"BOSTIK Клей паркетный ""Tarbicol-KP5""";17112;;bostik-kley-parketnyiy-tarbicol-kp5;;;2;1503;;;;;;text;text;;BOSTIK;6307
13710;1;1;1473105653;1473173929;1473105653;;500;Y;"BOSTIK Клей паркетный ""Tarbicol-KP5""";17113;;bostik-kley-parketnyiy-tarbicol-kp5-13709;;;2;1503;;;;;;text;text;;BOSTIK;6306
13711;1;1;1473105654;1473173929;1473105654;;500;Y;"BOSTIK Клей паркетный ""Tarbicol-KPA""";17114;;bostik-kley-parketnyiy-tarbicol-kpa;;;2;1503;;;;;;text;text;;BOSTIK;6305
13712;1;1;1473105655;1473173929;1473105655;;500;Y;"BOSTIK Клей паркетный ""Tarbicol-КРA""";17115;;bostik-kley-parketnyiy-tarbicol-kra;;;2;1503;;;;;;text;text;;BOSTIK;20952
13754;1;1;1473105741;1473172830;1473105741;;500;Y;"ЭКОНОМ Грунтовка ГФ-021 кр-коричневый";17153;;ekonom-gruntovka-gf-021-kr-korichnevyi;;;2;1459;;;;;;text;text;;;21153
13755;1;1;1473105744;1473172830;1473105744;;500;Y;"ЭКОНОМ Грунтовка ГФ-021 серый";17154;;ekonom-gruntovka-gf-021-seryiy;;;2;1459;;;;;;text;text;;;21154
13951;1;1;1473105993;1473171484;1473105993;;500;Y;"ЭКСПЕРТ Ацетон";17195;;ekspert-atseton;;;2;1447;;;;;;text;text;;Эксперт;w23238
14104;1;1;1473106187;1473171020;1473106187;;500;Y;"ЭКСПЕРТ Бетон-контакт";17216;;ekspert-beton-kontakt;;;2;1460;;;;;;text;text;;Эксперт;w23050
