Головной арт;Код;Номенклатура, Упаковка;Фасовка;Единица измерения;Цена розница, руб;Бренд;Картинка ;Цвет
;w055-030;Versaplus E/Версаплюс Е -Пигментируемая щелочестойкая паропроницаемая грунтовка ;;;;Soframap;http://www.lacos.ru/upload/wm_cache/a82/a820263cd0d155fd8b5da86fc54adf4b.png;
w055-030;055-030;;15;л;2 650,06;;;
w055-030;055-033;;5;л;1 050,18;;;
;w055-004;Versafix E/Версафикс Е - Микропористая водонепроницаемая грунтовка на основе акриловой сополимерной дисперсии;;;;Soframap;http://www.lacos.ru/upload/wm_cache/f11/f11b02b8fc2a09de2a23ca8bb713ccd0.png;
w055-004;055-004;;16;кг;1 700,16;;;
w055-004;055-003;;25;кг;3 350,18;;;
w055-004;055-005;;5;кг;880,44;;;
;055-056;"
Plexifilm E-12/Плексифильм E-12- грунтовка глубокого проникновения";10;л;1 600,34;Soframap;http://www.lacos.ru/upload/wm_cache/6ca/6ca763d281f4757d292c58d6bbcf1398.png;
;055-154;Plexifilm E-7/Плексифильм E-7  - грунтовка для подготовки оснований под краску;10;л;820,18;Soframap;http://www.lacos.ru/upload/wm_cache/7bd/7bda191098303fc80e3806030b7e5565.png;
;055-037;Silofilm E/Силофильм Е  - грунтовка глубокого проникновения (на основе силоксановых смол);1;л;1 750,30;Soframap;http://www.lacos.ru/upload/wm_cache/c9e/c9e40e39cbad0b5c9471c784771bb8d3.png;
;055-050;Tekmaplan/ Текмаплан - грунтовочный состав для получения штукатурки для бетонных оснований;20;кг;1 869,44;Soframap;http://www.lacos.ru/upload/wm_cache/6e7/6e7ea2b6e56e2e57ed6c5360b18ec8f6.png;
;w054-008;Versaplus S/Версаплюс С  - грунтовка;;;;Soframap;http://www.lacos.ru/upload/wm_cache/fcf/fcff521f441d35616eb148d7f906754a.png;
w054-008;054-008;;15;л;5 510,34;;;
w054-008;054-014;;5;л;2 040,10;;;
;w054-021;Versafix S//Версафикс С  - грунтовка под структурные покрытия;;;;Soframap;http://www.lacos.ru/upload/wm_cache/fcf/fcff521f441d35616eb148d7f906754a.png;
w054-021;054-021;;15;л;6 540,28;;;
w054-021;054-023;;4;л;2 100,36;;;
;w054-070;Galvaplast/Гальвапласт - грунтовка;;;;Soframap;http://www.lacos.ru/upload/wm_cache/18a/18a0f7b0c4fd772f823c0ce38df6ee8f.png;
w054-070;054-070;;15;л;12 771,44;;;
w054-070;054-072;;2,25;л;2 130,26;;;
;w054-003;Glycoprim/Гликоприм  - универсальный пигментированный грунт;;;;Soframap;http://www.lacos.ru/upload/wm_cache/18c/18cebd9d03b1f27ded852de6763fdeae.png;
w054-003;054-003;;20;кг;7 050,42;;;
w054-003;054-005;;5;кг;1 950,40;;;
;054-050;Plexifilm S/Плексифильм С  - непигментированная универсальная грунтовка глубокого проникновения, шт;5;л;2 150,04;Soframap;http://www.lacos.ru/upload/wm_cache/18b/18bb5f779770f385fd80a286391b5373.png;
;059-020;Decomur/Декомюр - декоративное покрытие;18;кг;1 412,20;Soframap;http://www.lacos.ru/upload/wm_cache/dce/dced29701bba59e450fd48686e6134da.png;
;059-017;Colplast/Колпласт  - многоцветное декоративное флоковое покрытие, ;10;кг;3 800,06;Soframap;http://www.lacos.ru/upload/wm_cache/137/137bbe307dd2a0b2f7ab376a0da07c26.png;
;059-029;Sofradecor/Софрадекор - декоративное покрытие для стен и потолков;15;л;7 700,40;Soframap;http://www.lacos.ru/upload/wm_cache/cb3/cb3ef7d8d6f7856c819aeb66e90ba1a4.png;
;w053-387;Aquasatin/Аквасатин  - краска шелковисто-матовая водно-диспер. для ответственных интер. работ;;;;Soframap;http://www.lacos.ru/upload/wm_cache/ce6/ce6fcca6d69494710d2e5b3456189bdb.png;
w053-387;053-387;;4;л;1 380,00;;;
w053-387;053-386;;15;л;4 700,28;;;
;w053-141;Vinylux/Винилюкс  - краска для интерьеров;;;;Soframap;http://www.lacos.ru/upload/wm_cache/409/409460774d9adf65d7660f699dd9096e.png;
w053-141;053-141;;25;кг;3 700,24;;;
w053-141;053-147;;5;кг;900,22;;;
;w053-400;Euromat/Евромат  - краска для внутренних работ;;;;Soframap;http://www.lacos.ru/upload/wm_cache/fd7/fd7ce6aaeebe52ac8fba8ef1fcda07a8.png;
w053-400;053-400;;2,25;л;561,20;;;
w053-400;053-384;;9;л;1 870,36;;;
