головной арт;Код;номенклатура;фасовка;единица изм.;цена розница;бренд;картинка;цвет
;00000092;Гипсокартон ГКЛ Волма 12,5мм (2,5м*1,2м);1;шт;172;Волма;http://www.fanerastroy.ru/upload/iblock/194/1941b38a7edffeff5329a8dd6204e456.jpg;
;00001246;Гипсокартон ГКЛ Волма 12,5мм (3,0м*1,2м) ;1;шт;264;Волма;http://www.fanerastroy.ru/upload/iblock/194/1941b38a7edffeff5329a8dd6204e456.jpg;
;00000091;Гипсокартон ГКЛ Волма 9,5мм (2,5м*1,2м);1;шт;155;Волма;http://www.fanerastroy.ru/upload/iblock/194/1941b38a7edffeff5329a8dd6204e456.jpg;
;00000138;Гипсокартон ГКЛ КНАУФ 9,5мм (2,5м*1,2м);1;шт;220;Knauf;http://smarket.by/image/cache/data/tovar/gkl/potolok/gkl-potolok-knauf-600x600.jpg;
;00000094;Гипсокартон ГКЛВ Волма 12,5мм (2,5м*1,2м);1;шт;308;Волма;http://www.fanerastroy.ru/upload/iblock/194/1941b38a7edffeff5329a8dd6204e456.jpg;
;00000909;Гипсокартон ГКЛВ Волма 12,5мм (3,0м*1,2м) ;1;шт;354;Волма;http://www.fanerastroy.ru/upload/iblock/194/1941b38a7edffeff5329a8dd6204e456.jpg;
;00000093;Гипсокартон ГКЛВ Волма 9,5мм (2,5м*1,2м);1;шт;298;Волма;http://www.fanerastroy.ru/upload/iblock/194/1941b38a7edffeff5329a8dd6204e456.jpg;
;w00001002;"Грунт ""Оптимист""  для внутр. работ (син. этик.) G101 ";;;;Оптимист;http://www.sct.ru/upload/resize_cache/iblock/e52/417_417_1/e527ebd1492594b4e746c9ae0aca3de7.jpg;
w00001002;00001002;;10;л;360;;;
w00001002;00001003;;5;л;185;;;
;w00000106;"Грунт ""Оптимист"" гл.проникновения для внутр. и нар. работ (зел. этик.) G103";;;;Оптимист;http://poryadok.ru/upload/resize_cache/iblock/586/450_450_17fd053efb125ceeaaa4b3c8cc49e7cdd/58693ccea52f8706a73e4b1df041cea4.jpeg;
w00000106;00000106;;10;л;510;;;
w00000106;00000107;;5;л;265;;;
;w00000379;Грунт Старатели Бетон-контакт;;;;Старатели;http://st13.stpulscen.ru/images/product/074/938/868_big.jpg;
w00000379;00000379;;20;кг;1350;;;
w00000379;00000523;;5;кг;420;;;
;w00000030;Грунт ЮНИС д/внутр. работ;;;;Unis;http://ltbaza.ru/logo/thumb.php?id=33445.jpg;
w00000030;00000030;;10;л;313;;;
w00000030;00000031;;5;л;175;;;
;00000364;Грунт ЮНИС Универсальный;10;л;351;Unis;http://gksp.me/27929-thickbox_default/grunt-universalnyj-yunis-5-l.jpg;
;00001158;"Кисть 888 ""Малярная сказка"" плоская,натуральная светлая щетина,50мм*13мм";1;шт;35;;https://shop.baumall.ru/upload/iblock/d33/d3392f6004f848f40577596116f216a0.jpg;
;00001169;"Кисть 888 ""Малярная сказка"" плоская,натуральная светлая щетина,75мм*14мм";1;шт;52;;https://shop.baumall.ru/upload/iblock/d33/d3392f6004f848f40577596116f216a0.jpg;
;00000100;Пистолет для герметика желтый Соудал ;1;шт;360;;http://uralgermetik.ru/d/379135/d/5ab529a5ebdeee2caf2312423d91adb3__XL.jpg;
;00001174;Сетка шлифовальная 888,115мм*280мм,зерно №180;1;шт;140;;http://tdp.com.ua/images/catalog/5qRJBtoBo7/5qRJBtoBo78caa81492cbfaecb40e4271fb6cccb7d_1425041566.jpg;
;00001175;Сетка шлифовальная 888,115мм*280мм,зерно №220;1;шт;140;;http://tdp.com.ua/images/catalog/5qRJBtoBo7/5qRJBtoBo78caa81492cbfaecb40e4271fb6cccb7d_1425041566.jpg;
