Код;Наименование;фасовка;Единица измерения;Цена в валюте прайса;Бренд;картинка;Цвет
w20874;HUSKY INTERIOR&EXTERIOR PRIMER Грунт-краска для интерьеров и фасадов;;;;HUSKY;http://www.dekart.ru/content/images/thumbs/0001551_husky_interior_exterior_primer_100_.jpeg;
20874;;10;л;1097,7642;;;
w20755;HUSKY SUPER PAINT CELING Краска потолочная;;;;HUSKY;http://www.dekart.ru/products/1179/idealno-belaya-kraska-dlya-potolkov-husky-haski-super-paint-ceiling-100-akrilovaya-interernaya-kraska;
20755;;2,5;л;593,8101;;;
20756;;10;л;2048,6583;;;
w20757;HUSKY SUPER PAINT EXTERIOR Краска фасадная;;;;HUSKY;http://www.dekart.ru/content/images/thumbs/0001517_husky_super_paint_exterior_100_.jpeg;
20757;;2,5;л;861,0264;;;
20758;;10;л;3072,9933;;;
w18237;HUSKY SUPER PAINT INTERIOR Краска интерьерная;;;;HUSKY;http://www.dekart.ru/content/images/thumbs/0001642_husky_super_paint_interior_100_.jpeg;
18237;;2,5;л;894,348;;;
18185;;10;л;2988,1449;;;
w21663;HUSKY GLOSS ECO ENAMEL Глянцевая эко-эмаль;;;;HUSKY;http://www.dekart.ru/content/images/thumbs/0001766_husky_gloss_eco_enmel_100_.jpeg;
21663;;0,9;л;643,5585;;;
21664;;2,5;л;1501,227;;;
w21718;HUSKY SEMI-MATT ECO ENAMEL полуматовая эко-эмаль;;;;HUSKY;http://www.dekart.ru/content/images/thumbs/0001767_husky_semi_matt_eco_enmel_100_.jpeg;
21718;;0,9;л;643,5585;;;
21719;;2,5;л;1501,227;;;
17795;JOBI Грунтовка аэрозольная белая;400;мл;252,1467;JOBI;http://www.dekart.ru/content/images/thumbs/0000059_jobi_haftgrund_.jpg;
17796;JOBI Лак аэрозольный бесцветный;400;мл;217,8774;JOBI;http://www.dekart.ru/content/images/thumbs/0000080_jobi_schutzlack_.jpg;
w15191;JOBI Эмаль аэрозольная глянцевая;;;;JOBI;http://www.dekart.ru/content/images/thumbs/0000049_jobi_aerozollack_.jpg;
15191;;400;мл;231,9642;;;белая RAL 9010
15202;;400;мл;231,9642;;http://www.dekart.ru/content/images/thumbs/0000049_jobi_aerozollack_.jpg;вишневая RAL 3005
5195;;400;мл;231,9642;;http://www.dekart.ru/content/images/thumbs/0000049_jobi_aerozollack_.jpg; голубая RAL 5015
15199;;400;мл;231,9642;;http://www.dekart.ru/content/images/thumbs/0000049_jobi_aerozollack_.jpg; желтая RAL 1021
15194;;400;мл;231,9642;;http://www.dekart.ru/content/images/thumbs/0000049_jobi_aerozollack_.jpg;зеленая RAL 6029
19513;;400;мл;231,9642;;http://www.dekart.ru/content/images/thumbs/0000049_jobi_aerozollack_.jpg;зеленый мох RAL 6005
15201;;400;мл;231,9642;;http://www.dekart.ru/content/images/thumbs/0000049_jobi_aerozollack_.jpg; коричневая RAL 8011
15197;;400;мл;231,9642;;http://www.dekart.ru/content/images/thumbs/0000049_jobi_aerozollack_.jpg; красная RAL 3020
15198;;400;мл;231,9642;;http://www.dekart.ru/content/images/thumbs/0000049_jobi_aerozollack_.jpg;оранжевая RAL 2003
15193;;400;мл;231,9642;;http://www.dekart.ru/content/images/thumbs/0000049_jobi_aerozollack_.jpg;серая RAL 7001
15200;;400;мл;231,9642;;http://www.dekart.ru/content/images/thumbs/0000049_jobi_aerozollack_.jpg;серебро RAL 9006
15196;;400;мл;231,9642;;http://www.dekart.ru/content/images/thumbs/0000049_jobi_aerozollack_.jpg;синяя RAL 5010
19512;;400;мл;231,9642;;http://www.dekart.ru/content/images/thumbs/0000049_jobi_aerozollack_.jpg;слоновая кость RAL 1015
16794;;400;мл;231,9642;;http://www.dekart.ru/content/images/thumbs/0000049_jobi_aerozollack_.jpg;т-зеленая RAL 6020
16793;;400;мл;231,9642;;http://www.dekart.ru/content/images/thumbs/0000049_jobi_aerozollack_.jpg;т-коричневая RAL 8017
15192;;400;мл;231,9642;;http://www.dekart.ru/content/images/thumbs/0000049_jobi_aerozollack_.jpg;черная RAL 9005
15212;JOBI Эмаль аэрозольная для радиаторов белая;400;мл;328,9572;;http://www.dekart.ru/content/images/thumbs/0000049_jobi_aerozollack_.jpg;
